City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
63,lasa,46.6166,10.7002,1.900000000000034,91,25,4.49,IT,2023-02-04 16:05:55
64,thompson,55.7435,-97.8558,-30.909999999999968,76,20,1.54,CA,2023-02-04 16:05:56
65,butaritari,3.0707,172.7902,27.480000000000015,80,69,8.92,KI,2023-02-04 16:05:56
66,chifeng,42.2683,118.9636,-5.399999999999977,38,32,2.76,CN,2023-02-04 16:05:56
67,kavieng,-2.5744,150.7967,27.05000000000001,78,98,3.07,PG,2023-02-04 16:05:57
68,mareeba,-17.0,145.4333,24.69,96,100,0.92,AU,2023-02-04 16:05:57
69,manta,-0.95,-80.7333,26.879999999999995,78,75,2.57,EC,2023-02-04 16:05:58
70,nome,64.5011,-165.4064,-12.95999999999998,85,100,2.57,US,2023-02-04 16:05:46
71,katsuura,35.1333,140.3,7.160000000000025,68,0,4.89,JP,2023-02-04 16:05:58
72,governador valadares,-18.8511,-41.9494,30.600000000000023,59,2,1.4,BR,2023-02-04 16:05:59
73,gambela,8.25,34.5833,34.01000000000005,18,42,1.64,ET,2023-02-04 16:05:59
74,palimbang,6.2106,124.1894,25.150000000000038,85,100,1.8,PH,2023-02-04 16:06:00
75,mountain home,43.133,-115.6912,-0.4799999999999613,70,0,4.63,US,2023-02-04 16:06:00
76,atuona,-9.8,-139.0333,25.850000000000023,73,0,9.28,PF,2023-02-04 16:06:01
77,tiznit,29.5833,-9.5,16.410000000000025,19,12,6.28,MA,2023-02-04 16:06:01
78,vardo,70.3705,31.1107,-9.009999999999993,86,40,7.72,NO,2023-02-04 16:06:02
79,nanortalik,60.1432,-45.2371,-1.5699999999999932,61,100,11.16,GL,2023-02-04 16:06:04
80,dikson,73.5069,80.5464,-18.18999999999997,97,100,0.88,RU,2023-02-04 16:06:08
81,russell,32.3502,-85.1999,9.600000000000025,40,0,3.6,US,2023-02-04 16:03:33
82,mogadishu,2.0371,45.3438,26.930000000000007,74,0,8.23,SO,2023-02-04 15:56:46
83,north branch,45.5113,-92.9802,-7.7099999999999795,72,37,1.34,US,2023-02-04 16:06:13
84,ulladulla,-35.35,150.4667,13.990000000000007,73,0,2.45,AU,2023-02-04 16:06:15
85,arraial do cabo,-22.9661,-42.0278,34.98000000000002,52,0,7.2,BR,2023-02-04 16:06:17
86,saint-philippe,-21.3585,55.7679,26.77000000000004,87,59,5.27,RE,2023-02-04 16:06:19
87,kloulklubed,7.0419,134.2556,27.470000000000027,80,58,7.19,PW,2023-02-04 16:06:28
88,khatanga,71.9667,102.5,-38.29999999999998,100,62,2.15,RU,2023-02-04 16:06:30
89,bereda,43.2686,-7.5406,11.75,79,0,2.3,ES,2023-02-04 16:06:31
90,bengkulu,-3.8004,102.2655,24.19,90,77,2.44,ID,2023-02-04 16:06:32
91,summerville,33.0185,-80.1757,9.890000000000043,56,0,5.66,US,2023-02-04 16:06:32
92,doka,13.5167,35.7667,29.410000000000025,18,100,6.09,SD,2023-02-04 16:06:33
93,falam,22.9167,93.6833,9.610000000000014,30,92,1.99,MM,2023-02-04 16:06:33
94,torbay,47.6666,-52.7314,-10.789999999999964,74,100,14.92,CA,2023-02-04 16:06:04
95,sabinas hidalgo,26.5,-100.1667,12.360000000000014,56,0,2.7,MX,2023-02-04 16:06:34
96,baghdad,33.3406,44.4009,12.950000000000044,50,0,3.09,IQ,2023-02-04 16:03:50
